record_id,redcap_repeat_instrument,redcap_repeat_instance,a_number,ursi
1,,,A00079301,M10904021
2,,,A00061962,M10910125
3,,,A00052183,M10931773
4,,,A00051476,M10903444
5,,,A00059664,M10979815
6,,,A00056225,M10945609
7,,,A00081081,M10969829
8,,,A00038158,M10927665
9,,,A00055866,M10926167
10,,,A00040798,M10909607
11,,,A00058317,M10961136
12,,,A00052278,M10907652
13,,,A00037267,M10925107
14,,,A00076744,M10981165
15,,,A00053473,M10913439
16,,,A00082969,M10922751
17,,,A00038998,M10970750
18,,,A00074808,M10950313
19,,,A00043803,M10993095
20,,,A00077111,M10995938
21,,,A00060407,M10997446
22,,,A00037191,M10964673
23,,,A00077758,M10960184
24,,,A00060664,M10956583
25,,,A00060806,M10941436
26,,,A00083138,M10942248
27,,,A00044291,M10959461
28,,,A00085864,M10975222
29,,,A00040623,M10988324
30,,,A00038520,M10905356
31,,,A00061728,M10958517
32,,,A00066419,M10955557
33,,,A00060383,M10989019
34,,,A00081901,M10912571
35,,,A00059875,M10987963
36,,,A00037266,M10923116
37,,,A00035879,M10986067
38,,,A00057965,M10901092
39,,,A00067062,M10905192
40,,,A00052307,M10967844
41,,,A00081089,M10917941
42,,,A00038806,M10975411
43,,,A00062146,M10984793
44,,,A00062917,M10902692
45,,,A00037848,M10987884
46,,,A00058503,M10936289
47,,,A00039075,M10921437
48,,,A00044217,M10936019
49,,,A00077099,M10995988
50,,,A00074687,M10908609
51,,,A00075729,M10962407
52,,,A00035076,M10944344
53,,,A00085406,M10971430
54,,,A00044171,M10972267
55,,,A00043494,M10949254
56,,,A00051835,M10999168
57,,,A00083967,M10932054
58,,,A00051855,M10913124
59,,,A00037081,M10953980
60,,,A00060430,M10995976
61,,,A00085298,M10984578
62,,,A00052612,M10943252
63,,,A00066090,M10901657
64,,,A00037112,M10967693
65,,,A00076941,M10989684
66,,,A00062800,M10997800
67,,,A00040117,M10999438
68,,,A00028271,M10919719
69,,,A00081394,M10997113
70,,,A00074641,M10958986
71,,,A00028754,M10967827
72,,,A00035588,M10906712
73,,,A00062009,M10952093
74,,,A00037122,M10988689
75,,,A00065962,M10924585
76,,,A00056920,M10964407
77,,,A00083951,M10985763
78,,,A00062929,M10909185
79,,,A00053546,M10947251
80,,,A00060472,M10926409
81,,,A00038623,M10908886
82,,,A00039700,M10911693
83,,,A00061210,M10969627
84,,,A00062210,M10943450
85,,,A00039276,M10987473
86,,,A00062798,M10930145
87,,,A00043649,M10902826
88,,,A00077311,M10942473
89,,,A00077622,M10928777
90,,,A00056165,M10996184
91,,,A00078238,M10986502
92,,,A00055352,M10992053
93,,,A00044100,M10900534
94,,,A00040104,M10978859
95,,,A00039657,M10975151
96,,,A00081114,M10986868
97,,,A00031605,M10911282
98,,,A00035364,M10913044
99,,,A00031216,M10974363
100,,,A00039756,M10936216
101,,,A00035608,M10944667
102,,,A00060516,M10996407
103,,,A00062255,M10952467
104,,,A00059344,M10952753
105,,,A00043722,M10946688
106,,,A00076381,M10949534
107,,,A00063008,M10920906
108,,,A00040874,M10911168
109,,,A00061883,M10931629
110,,,A00052180,M10985013
111,,,A00085057,M10991458
112,,,A00044131,M10912586
113,,,A00060362,M10970064
114,,,A00065978,M10930908
115,,,A00063031,M10934821
116,,,A00052069,M10973275
117,,,A00058570,M10960870
118,,,A00052214,M10971450
119,,,A00074795,M10922080
120,,,A00050940,M10958193
121,,,A00081126,M10976417
122,,,A00037110,M10930678
123,,,A00063589,M10972570
124,,,A00077203,M10996237
125,,,A00037235,M10996878
126,,,A00075220,M10955013
127,,,A00074688,M10924492
128,,,A00055122,M10957261
129,,,A00037510,M10984446
130,,,A00057444,M10921333
131,,,A00028266,M10965532
132,,,A00037170,M10942968
133,,,A00033747,M10962704
134,,,A00065934,M10968610
135,,,A00075678,M10918534
136,,,A00040226,M10930248
137,,,A00052577,M10957037
138,,,A00066589,M10903776
139,,,A00060279,M10978008
140,,,A00077088,M10911717
141,,,A00061730,M10903440
142,,,A00081801,M10953248
143,,,A00065995,M10928541
144,,,A00060471,M10917509
145,,,A00060925,M10901599
146,,,A00044370,M10926807
147,,,A00057372,M10986274
148,,,A00055160,M10913405
149,,,A00077564,M10937678
150,,,A00061598,M10935855
151,,,A00061600,M10950715
152,,,A00043648,M10932773
153,,,A00055946,M10952341
154,,,A00027651,M10971266
155,,,A00053474,M10919490
156,,,A00063368,M10987457
157,,,A00052070,M10923884
158,,,A00037646,M10920818
159,,,A00083574,M10900840
160,,,A00059361,M10916115
161,,,A00019903,M10916415
162,,,A00073286,M10972240
163,,,A00039943,M10929703
164,,,A00079776,M10934236
165,,,A00057808,M10903317
166,,,A00033180,M10988199
167,,,A00035633,M10903645
168,,,A00055751,M10985399
169,,,A00043635,M10976213
170,,,A00061787,M10977115
171,,,A00077412,M10956532
172,,,A00082666,M10983486
173,,,A00066871,M10967359
174,,,A00052118,M10941769
175,,,A00082972,M10957536
176,,,A00058515,M10921656
177,,,A00066302,M10902883
178,,,A00040343,M10940794
179,,,A00087118,M10923807
180,,,A00058145,M10921433
181,,,A00060493,M10960813
182,,,A00055215,M10940556
183,,,A00077395,M10945599
184,,,A00064323,M10961001
185,,,A00082987,M10933318
186,,,A00085002,M10963243
187,,,A00035291,M10932088
188,,,A00061881,M10997121
189,,,A00053927,M10954899
190,,,A00053626,M10919493
191,,,A00039783,M10943391
192,,,A00039393,M10914139
193,,,A00052499,M10927807
194,,,A00084921,M10976163
195,,,A00077574,M10914037
196,,,A00040992,M10937033
197,,,A00064597,M10956506
198,,,A00040174,M10966210
199,,,A00057183,M10900355
200,,,A00055765,M10972684
201,,,A00040594,M10959209
202,,,A00037784,M10943484
203,,,A00050742,M10992817
204,,,A00055542,M10974750
205,,,A00062351,M10919031
206,,,A00073283,M10915739
207,,,A00051603,M10917524
208,,,A00060014,M10938102
209,,,A00037492,M10939437
210,,,A00079781,M10929278
211,,,A00039353,M10989280
212,,,A00038817,M10934715
213,,,A00038605,M10952992
